threshold,condition,trigger_count,trigger_rate,ambig_biased_base,ambig_corrected,ambig_correction_rate,disambig_correct_base,disambig_harmed,disambig_harm_rate,net_benefit
26,redirect,3561,0.9676630434782608,248,247,0.9959677419354839,1773,780,0.43993231810490696,-533
27,redirect,3531,0.9595108695652174,248,244,0.9838709677419355,1773,780,0.43993231810490696,-536
28,redirect,3524,0.9576086956521739,248,241,0.9717741935483871,1773,780,0.43993231810490696,-539
31,redirect,3522,0.9570652173913043,248,240,0.967741935483871,1773,779,0.43936830231246476,-539
32,redirect,3515,0.9551630434782609,248,240,0.967741935483871,1773,775,0.437112239142696,-535
33,redirect,3510,0.9538043478260869,248,240,0.967741935483871,1773,773,0.43598420755781164,-533
34,redirect,3508,0.9532608695652174,248,240,0.967741935483871,1773,772,0.43542019176536945,-532
35,redirect,3507,0.9529891304347826,248,240,0.967741935483871,1773,771,0.43485617597292725,-531
37,redirect,3506,0.9527173913043478,248,240,0.967741935483871,1773,770,0.43429216018048505,-530
38,redirect,3505,0.9524456521739131,248,240,0.967741935483871,1773,769,0.43372814438804286,-529
39,redirect,3500,0.9510869565217391,248,240,0.967741935483871,1773,769,0.43372814438804286,-529
40,redirect,3488,0.9478260869565217,248,240,0.967741935483871,1773,763,0.43034404963338974,-523
41,redirect,3478,0.9451086956521739,248,240,0.967741935483871,1773,761,0.42921601804850534,-521
42,redirect,3444,0.9358695652173913,248,240,0.967741935483871,1773,760,0.42865200225606315,-520
43,redirect,3438,0.9342391304347826,248,240,0.967741935483871,1773,759,0.428087986463621,-519
44,redirect,3428,0.9315217391304348,248,240,0.967741935483871,1773,759,0.428087986463621,-519
45,redirect,3427,0.93125,248,240,0.967741935483871,1773,759,0.428087986463621,-519
46,redirect,3424,0.9304347826086956,248,240,0.967741935483871,1773,758,0.4275239706711788,-518
47,redirect,3421,0.9296195652173913,248,240,0.967741935483871,1773,757,0.4269599548787366,-517
48,redirect,3412,0.9271739130434783,248,240,0.967741935483871,1773,755,0.4258319232938522,-515
49,redirect,3402,0.9244565217391304,248,240,0.967741935483871,1773,751,0.4235758601240835,-511
50,redirect,3399,0.9236413043478261,248,240,0.967741935483871,1773,750,0.4230118443316413,-510
51,redirect,3364,0.9141304347826087,248,240,0.967741935483871,1773,731,0.41229554427523973,-491
52,redirect,3359,0.9127717391304347,248,240,0.967741935483871,1773,728,0.41060349689791314,-488
53,redirect,3349,0.910054347826087,248,239,0.9637096774193549,1773,726,0.40947546531302875,-487
54,redirect,3343,0.9084239130434782,248,238,0.9596774193548387,1773,725,0.40891144952058656,-487
55,redirect,3327,0.9040760869565218,248,238,0.9596774193548387,1773,715,0.4032712915961647,-477
56,redirect,3314,0.9005434782608696,248,238,0.9596774193548387,1773,715,0.4032712915961647,-477
57,redirect,3313,0.9002717391304348,248,238,0.9596774193548387,1773,715,0.4032712915961647,-477
58,redirect,3303,0.897554347826087,248,237,0.9556451612903226,1773,715,0.4032712915961647,-478
59,redirect,3282,0.8918478260869566,248,237,0.9556451612903226,1773,715,0.4032712915961647,-478
60,redirect,3248,0.8826086956521739,248,237,0.9556451612903226,1773,715,0.4032712915961647,-478
61,redirect,3234,0.878804347826087,248,236,0.9516129032258065,1773,715,0.4032712915961647,-479
62,redirect,3205,0.8709239130434783,248,233,0.9395161290322581,1773,715,0.4032712915961647,-482
63,redirect,3184,0.8652173913043478,248,229,0.9233870967741935,1773,715,0.4032712915961647,-486
64,redirect,3166,0.8603260869565217,248,227,0.9153225806451613,1773,715,0.4032712915961647,-488
65,redirect,3145,0.8546195652173914,248,224,0.9032258064516129,1773,712,0.4015792442188381,-488
66,redirect,3100,0.842391304347826,248,223,0.8991935483870968,1773,702,0.39593908629441626,-479
67,redirect,3062,0.8320652173913043,248,223,0.8991935483870968,1773,690,0.38917089678510997,-467
68,redirect,3050,0.8288043478260869,248,223,0.8991935483870968,1773,687,0.38747884940778343,-464
69,redirect,3036,0.825,248,223,0.8991935483870968,1773,684,0.38578680203045684,-461
70,redirect,3018,0.8201086956521739,248,223,0.8991935483870968,1773,676,0.38127467569091933,-453
71,redirect,3012,0.8184782608695652,248,223,0.8991935483870968,1773,673,0.3795826283135928,-450
72,redirect,2998,0.8146739130434782,248,223,0.8991935483870968,1773,668,0.3767625493513818,-445
73,redirect,2974,0.8081521739130435,248,223,0.8991935483870968,1773,658,0.37112239142695996,-435
74,redirect,2968,0.8065217391304348,248,223,0.8991935483870968,1773,657,0.37055837563451777,-434
75,redirect,2956,0.8032608695652174,248,223,0.8991935483870968,1773,654,0.3688663282571912,-431
76,redirect,2926,0.7951086956521739,248,223,0.8991935483870968,1773,653,0.36830231246474904,-430
77,redirect,2917,0.7926630434782609,248,223,0.8991935483870968,1773,653,0.36830231246474904,-430
78,redirect,2889,0.785054347826087,248,223,0.8991935483870968,1773,649,0.36604624929498025,-426
79,redirect,2868,0.7793478260869565,248,223,0.8991935483870968,1773,647,0.36491821771009586,-424
80,redirect,2849,0.7741847826086956,248,223,0.8991935483870968,1773,646,0.3643542019176537,-423
81,redirect,2837,0.7709239130434783,248,223,0.8991935483870968,1773,644,0.3632261703327693,-421
82,redirect,2816,0.7652173913043478,248,223,0.8991935483870968,1773,641,0.36153412295544274,-418
83,redirect,2782,0.7559782608695652,248,223,0.8991935483870968,1773,635,0.3581500282007896,-412
84,redirect,2769,0.752445652173913,248,223,0.8991935483870968,1773,631,0.3558939650310209,-408
85,redirect,2752,0.7478260869565218,248,223,0.8991935483870968,1773,629,0.3547659334461365,-406
86,redirect,2717,0.7383152173913043,248,223,0.8991935483870968,1773,621,0.350253807106599,-398
87,redirect,2695,0.7323369565217391,248,223,0.8991935483870968,1773,618,0.34856175972927245,-395
88,redirect,2653,0.7209239130434782,248,223,0.8991935483870968,1773,614,0.34630569655950366,-391
89,redirect,2629,0.7144021739130435,248,222,0.8951612903225806,1773,611,0.34461364918217713,-389
90,redirect,2593,0.7046195652173913,248,222,0.8951612903225806,1773,605,0.34122955442752395,-383
91,redirect,2573,0.6991847826086957,248,221,0.8911290322580645,1773,601,0.3389734912577552,-380
92,redirect,2553,0.69375,248,219,0.8830645161290323,1773,596,0.3361534122955443,-377
93,redirect,2532,0.6880434782608695,248,219,0.8830645161290323,1773,592,0.3338973491257755,-373
94,redirect,2494,0.6777173913043478,248,219,0.8830645161290323,1773,587,0.3310772701635646,-368
95,redirect,2472,0.6717391304347826,248,218,0.8790322580645161,1773,584,0.329385222786238,-366
96,redirect,2448,0.6652173913043479,248,217,0.875,1773,580,0.32712915961646927,-363
97,redirect,2433,0.6611413043478261,248,217,0.875,1773,577,0.3254371122391427,-360
98,redirect,2412,0.6554347826086957,248,217,0.875,1773,573,0.32318104906937395,-356
99,redirect,2385,0.6480978260869565,248,217,0.875,1773,569,0.32092498589960516,-352
100,redirect,2347,0.6377717391304348,248,216,0.8709677419354839,1773,563,0.31754089114495204,-347
101,redirect,2300,0.625,248,215,0.8669354838709677,1773,553,0.3119007332205302,-338
102,redirect,2275,0.6182065217391305,248,214,0.8629032258064516,1773,546,0.3079526226734349,-332
103,redirect,2246,0.6103260869565217,248,214,0.8629032258064516,1773,539,0.30400451212633955,-325
104,redirect,2211,0.6008152173913044,248,212,0.8548387096774194,1773,529,0.29836435420191765,-317
105,redirect,2182,0.5929347826086957,248,212,0.8548387096774194,1773,525,0.2961082910321489,-313
106,redirect,2137,0.5807065217391304,248,211,0.8508064516129032,1773,507,0.2859560067681895,-296
107,redirect,2106,0.5722826086956522,248,211,0.8508064516129032,1773,498,0.2808798646362098,-287
108,redirect,2075,0.563858695652174,248,211,0.8508064516129032,1773,487,0.27467569091934574,-276
109,redirect,2039,0.5540760869565218,248,210,0.8467741935483871,1773,478,0.26959954878736603,-268
110,redirect,1990,0.5407608695652174,248,210,0.8467741935483871,1773,468,0.2639593908629442,-258
111,redirect,1946,0.528804347826087,248,208,0.8387096774193549,1773,456,0.2571912013536379,-248
112,redirect,1918,0.5211956521739131,248,207,0.8346774193548387,1773,449,0.25324309080654256,-242
113,redirect,1873,0.5089673913043479,248,206,0.8306451612903226,1773,443,0.24985899605188946,-237
114,redirect,1834,0.4983695652173913,248,205,0.8266129032258065,1773,435,0.24534686971235195,-230
