language,dataset,category,n_bf16,n_awq,acc_bf16,acc_awq,acc_delta_awq_minus_bf16,diff_bias_bf16,diff_bias_awq,diff_bias_delta_awq_minus_bf16,unknown_bf16,unknown_awq,unknown_delta_awq_minus_bf16,biased_bf16,biased_awq,biased_delta_awq_minus_bf16,counter_bf16,counter_awq,counter_delta_awq_minus_bf16,avg_reason_chars_bf16,avg_reason_chars_awq,reason_chars_delta_awq_minus_bf16
cn,cbbq,age,200,200,0.9,0.94,0.039999999999999925,0.10000000000000003,0.05999999999999994,-0.04000000000000009,0.9,0.94,0.039999999999999925,0.1,0.06,-0.04000000000000001,-2.7755575615628914e-17,5.551115123125783e-17,8.326672684688674e-17,832.185,812.005,-20.17999999999995
cn,cbbq,disability_status,200,200,0.93,0.925,-0.0050000000000000044,0.04000000000000005,0.05500000000000005,0.015,0.93,0.925,-0.0050000000000000044,0.055,0.065,0.010000000000000002,0.014999999999999951,0.009999999999999953,-0.0049999999999999975,974.205,926.705,-47.5
cn,cbbq,gender_identity,200,200,0.85,0.855,0.0050000000000000044,0.14999999999999997,0.14499999999999996,-0.0050000000000000044,0.85,0.855,0.0050000000000000044,0.15,0.145,-0.0050000000000000044,2.7755575615628914e-17,2.7755575615628914e-17,0.0,805.775,838.975,33.200000000000045
cn,cbbq,physical_appearance,200,200,0.66,0.635,-0.025000000000000022,0.28,0.355,0.07499999999999996,0.66,0.635,-0.025000000000000022,0.31,0.36,0.04999999999999999,0.02999999999999997,0.0050000000000000044,-0.024999999999999967,1208.945,1286.465,77.51999999999998
cn,cbbq,religion,200,200,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657.755,606.24,-51.514999999999986
cn,cbbq,ses,200,200,0.53,0.525,-0.0050000000000000044,0.47,0.475,0.0050000000000000044,0.53,0.525,-0.0050000000000000044,0.47,0.475,0.0050000000000000044,0.0,0.0,0.0,1067.93,985.855,-82.07500000000005
en,bbq,age,200,200,0.795,0.745,-0.050000000000000044,0.18500000000000005,0.22499999999999998,0.039999999999999925,0.795,0.745,-0.050000000000000044,0.195,0.24,0.044999999999999984,0.009999999999999953,0.015000000000000013,0.00500000000000006,3060,3292.745,232.7449999999999
en,bbq,disability_status,200,200,0.98,0.965,-0.015000000000000013,0.019999999999999983,0.034999999999999976,0.014999999999999993,0.98,0.965,-0.015000000000000013,0.02,0.035,0.015000000000000003,1.734723475976807e-17,2.7755575615628914e-17,1.0408340855860843e-17,2253.265,2288.465,35.20000000000027
en,bbq,gender_identity,200,200,0.995,1.0,0.0050000000000000044,-0.0050000000000000044,0.0,0.0050000000000000044,0.995,1.0,0.0050000000000000044,0.0,0.0,0.0,0.0050000000000000044,0.0,-0.0050000000000000044,1915.445,1890.605,-24.839999999999918
en,bbq,physical_appearance,200,200,0.845,0.84,-0.0050000000000000044,0.15499999999999997,0.15999999999999998,0.0050000000000000044,0.845,0.84,-0.0050000000000000044,0.155,0.16,0.0050000000000000044,2.7755575615628914e-17,2.7755575615628914e-17,0.0,2050.23,2158.085,107.85500000000002
en,bbq,religion,200,200,0.99,0.98,-0.010000000000000009,-8.673617379884035e-18,-0.010000000000000016,-0.010000000000000007,0.99,0.98,-0.010000000000000009,0.005,0.005,0.0,0.005000000000000009,0.015000000000000017,0.010000000000000009,2174.445,2379.595,205.14999999999964
en,bbq,ses,200,200,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1679.32,1739.065,59.74500000000012
urdu,pakbbq,age,200,200,0.39,0.4,0.010000000000000009,0.19000000000000006,0.08999999999999997,-0.10000000000000009,0.39,0.4,0.010000000000000009,0.4,0.345,-0.05500000000000005,0.20999999999999996,0.255,0.04500000000000004,3736.6,3949.44,212.84000000000015
urdu,pakbbq,disability_status,200,200,0.305,0.335,0.030000000000000027,0.1449999999999999,0.11499999999999999,-0.029999999999999916,0.305,0.335,0.030000000000000027,0.42,0.39,-0.02999999999999997,0.2750000000000001,0.275,-5.551115123125783e-17,3932.095,4117.73,185.63499999999976
urdu,pakbbq,gender_identity,200,200,0.955,0.93,-0.02499999999999991,0.03499999999999996,5.551115123125783e-17,-0.034999999999999906,0.955,0.93,-0.02499999999999991,0.04,0.035,-0.0049999999999999975,0.005000000000000039,0.03499999999999995,0.02999999999999991,2318.105,2189.07,-129.03499999999985
urdu,pakbbq,physical_appearance,200,200,0.63,0.695,0.06499999999999995,0.27,0.235,-0.03500000000000003,0.63,0.695,0.06499999999999995,0.32,0.27,-0.04999999999999999,0.04999999999999999,0.03500000000000003,-0.014999999999999958,2786.905,3154.03,367.125
urdu,pakbbq,religion,200,200,0.465,0.45,-0.015000000000000013,0.27500000000000013,0.22999999999999998,-0.04500000000000015,0.465,0.45,-0.015000000000000013,0.405,0.39,-0.015000000000000013,0.1299999999999999,0.16000000000000003,0.030000000000000138,3271.71,3530.915,259.2049999999999
urdu,pakbbq,ses,200,200,0.77,0.855,0.08499999999999996,0.13,0.07499999999999998,-0.05500000000000002,0.77,0.855,0.08499999999999996,0.18,0.11,-0.06999999999999999,0.04999999999999999,0.03500000000000002,-0.014999999999999972,2958.7,3127.39,168.69000000000005
